address,lat,lng
"YAPEYU 283, CABA",-58.421642,-34.615533
"PARAGUAY 1255, CABA",-58.384852,-34.598102
"ESTADOS UNIDOS 629, CABA",-58.374815,-34.618483
"LA PAMPA 4951, CABA",-58.478347,-34.578694
"RNCON 79, CABA",NA,NA
"HIPOLITO YRIGOYEN 1315 21 F/G, CABA",NA,NA
"AZCUENAGA 1129, CABA",-58.399791,-34.594838
"LIMA 87 PISO 9, CABA",NA,NA
"AGUILAR 2282 3º OF 309, CABA",NA,NA
"CABELLO 3791 3º M, CABA",NA,NA
"VIAMONTE 1621 8º, CABA",NA,NA
"GUAMINI 5007, CABA",-58.475941,-34.688428
"NEUQUEN 781 3, CABA",NA,NA
"PASAJE KING 350 DTO 7, CABA",NA,NA
"Av Donado 4694, CABA",-58.492350,-34.549868
"Av. Pres.Figueroa Alcorta 3415, CABA",-58.403770,-34.577246
"Av. Don Pedro De Mendoza 1929, CABA",-58.361729,-34.639631
"Brandsen 805, CABA",-58.364380,-34.636469
"Int. Guiraldes 2620, CABA",-58.438501,-34.546475
"Junín 1939, CABA",-58.391528,-34.586582
"Montevideo 919, CABA",-58.389695,-34.598163
"Laprida 1212, CABA",-58.407807,-34.594707
"Av. Del Libertador 999, CABA",-58.385833,-34.586580
"Olga Cossettini 141, CABA",-58.364738,-34.600270
"Av. San Juan 328, CABA",-58.370225,-34.621867
"Riobamba 650, CABA",-58.394213,-34.601473
"Lavalle 1547, CABA",-58.388647,-34.602891
"Piedras 905, CABA",-58.377346,-34.618611
"Av. Independencia 1190, CABA",-58.382486,-34.617755
"Libertad 769, CABA",-58.383952,-34.599634
"Valle Iberlucea 1261, CABA",-58.362002,-34.639184
"Av. Del Libertador 405, CABA",-58.379361,-34.589982
"Riobamba 750. Piso 1, CABA",NA,NA
"Av. Caseros 2739, CABA",-58.401077,-34.636226
"Uriburu 781, CABA",-58.398710,-34.600011
"Rojas 129, CABA",-58.442075,-34.618898
"Cátulo Castillo 2750, CABA",-58.402298,-34.633454
"Abasto Shopping. Av. Corrientes 3247, CABA",NA,NA
"Humahuaca 4662, CABA",-58.430648,-34.600970
"Superi 2647, CABA",-58.470830,-34.562846
"Irala 1162, CABA",-58.366205,-34.639269
"Adolfo Alsina 380, CABA",-58.371766,-34.610158
"Av. Alicia Moreau de Justo 980, CABA",-58.366400,-34.609377
"Av. Rivadavia 830, CABA",-58.378280,-34.608267
"Av. Pres. Julio A. Roca 651, CABA",-58.375718,-34.610975
"Av. Int. Bullrich 481, CABA",-58.426151,-34.576522
"Av. Nazca 371, CABA",-58.470868,-34.627704
"Av. Don Pedro de Mendoza 1855, CABA",-58.361099,-34.639140
"Av. Don Pedro de Mendoza 1727, CABA",-58.359097,-34.638940
"Saráchaga 4906, CABA",-58.494463,-34.633245
"Av. Callao 1542, CABA",-58.391548,-34.591321
"Chacabuco 955, CABA",-58.375875,-34.619138
"Irigoyen 2265, CABA",-58.526186,-34.620833
"Tabare 1371, CABA",-58.423666,-34.651001
"Viamonte 2790, CABA",-58.405508,-34.600843
"Pres. Luis Sáenz Peña 457, CABA",-58.387556,-34.614149
"Guevara 492, CABA",-58.451631,-34.586464
"California 2000, CABA",-58.376585,-34.647656
"Olavarría 486, CABA",-58.359517,-34.636626
"Brandsen 567, CABA",-58.361888,-34.635468
"Humberto 1º 340, CABA",-58.370529,-34.620700
"México 524, CABA",-58.373666,-34.614909
"Av. Medrano 735, CABA",-58.420667,-34.601566
"Av. Luis M. Campos 554, CABA",-58.434531,-34.571519
"Av. Boyacá 1553, CABA",-58.467447,-34.611736
"Bartolomé Mitre 2455, CABA",-58.401460,-34.608561
"Av. Del Libertador 6935, CABA",-58.455283,-34.548438
"Av. Paseo Colón 650, CABA",-58.368821,-34.615249
"Av. Del Libertador 1850, CABA",-58.399869,-34.582761
"Caminito y Araoz De Lamadrid, CABA",-58.363241,-34.639095
"Vedia 3546, CABA",-58.487051,-34.544793
"Bollini 2260, CABA",-58.403182,-34.586322
"Lima 1037, CABA",-58.381524,-34.620262
"Marcelo T. De Alvear 740, CABA",-58.377616,-34.596346
"Concepción Arenal 4865, CABA",-58.456781,-34.596977
"Av.Corrientes 1372, CABA",-58.386193,-34.604053
"Av. Corrientes 1639, CABA",-58.389894,-34.604175
"Av. Corrientes 746, CABA",-58.377283,-34.603522
"Virrey Loreto 2348, CABA",-58.449359,-34.566624
"Av. Corrientes 1155, CABA",-58.383174,-34.603712
"Nicaragua 5565, CABA",-58.433083,-34.581945
"Sarmiento 3131, CABA",-58.410465,-34.606624
"Marcelo T. De Alvear 1125, CABA",-58.383259,-34.596797
"Av. Corrientes 1764/74, CABA",NA,NA
"Guevara 326, CABA",-58.449465,-34.587312
"Av. Corrientes 950, CABA",-58.380297,-34.603707
"Av. Corrientes 857, CABA",-58.378882,-34.603454
"Av. Rodriguez Peña 1062 / 1074, CABA",NA,NA
"Av. Corrientes 1660, CABA",-58.389891,-34.604339
"Rivadavia 1495 / 1497 / 1499, CABA",NA,NA
"Av. Corrientes 1280, CABA",-58.384800,-34.603973
"Bouchard 465, CABA",-58.369025,-34.602347
"Montevideo 842, CABA",-58.389740,-34.599017
"Esmeralda 443, CABA",-58.378060,-34.603059
"Av. Corrientes 1343, CABA",-58.385841,-34.603869
"Av. Corrientes 831, CABA",-58.378882,-34.603454
"Av. Corrientes 1283 / 1285, CABA",NA,NA
"Av. Corrientes 860, CABA",-58.378947,-34.603628
"Pasaje Santos Discepolo 1857, CABA",-58.393263,-34.603919
"Av. Corrientes 1524, CABA",-58.388157,-34.604203
"Av. Corrientes 1565, CABA",-58.388872,-34.604176
"Av. Santa Fe 1235, CABA",-58.384949,-34.595546
"Chacabuco 875, CABA",-58.375917,-34.618169
"Zelaya 3006, CABA",-58.408383,-34.601995
"Av. La Plata 96, CABA",-58.428872,-34.616358
"Av. Alicia Moreau de Justo 1920, CABA",-58.365308,-34.621559
"Beruti 3399, CABA",-58.410271,-34.586685
"Vedia 3626, CABA",-58.487652,-34.545051
"Av. Corrientes 3247, CABA",-58.410672,-34.603955
"Av.Rivadavia 5071, CABA",-58.437306,-34.618584
"Vicente López 2050, CABA",-58.393629,-34.588922
"Jerónimo Salguero 3172, CABA",-58.404121,-34.575644
"Rivera Indarte 44, CABA",-58.462469,-34.629368
"Av. del Libertador 750, CABA",-58.383406,-34.588102
